no,branch_name_th,branch_name_en,floor,mall_th,mall_en,sub_category_th,sub_category_en,status,,,,,,,,,,,,,,,,,
1849,เซ็กซี่เลซ เฮลธ์ แอนด์ เวลเนส เดอะมอลล์ไลฟ์สโตร์ บางแค,SEXY LACE HEALTH AND WELLNESS The Mall Lifestore Bangkae,1,เดอะมอลล์ไลฟ์สโตร์ บางแค,The Mall Lifestore Bangkae,Beauty Service,Beauty Service,active,,,,,,,,,,,,,,,,,
1855,เซย์เล็บ สตูดิโอ เดอะมอลล์ไลฟ์สโตร์ ท่าพระ,SAYLEB STUDIO The Mall Lifestore Thapra,G,เดอะมอลล์ไลฟ์สโตร์ ท่าพระ,The Mall Lifestore Thapra,Beauty Service,Beauty Service,active,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
2208,มิลค์ คิดส์ ซาลอน แอนด์ เนล เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,MILK KIDS SALON & NAILS SALON The Mall Lifestore Bangkapi,3,เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,The Mall Lifestore Bangkapi,Beauty Service,Beauty Service,active,,,,,,,,,,,,,,,,,
2259,ทูบีวัน แฮร์ สเตชั่น เดอะมอลล์ โคราช,TOB1 HAIR STATION The Mall Korat,3,เดอะมอลล์ โคราช,The Mall Korat,Beauty Service,Beauty Service,active,,,,,,,,,,,,,,,,,
2327,วีด้า ฟิสซิเคิล เวลเนส เดอะมอลล์ไลฟ์สโตร์ งามวงศ์วาน,VIDA PHYSICAL WELLNESS The Mall Lifestore Ngamwongwan,8,เดอะมอลล์ไลฟ์สโตร์ งามวงศ์วาน,The Mall Lifestore Ngamwongwan,Beauty Service,Beauty Service,active,,,,,,,,,,,,,,,,,
24,อีฟแอนด์บอย เดอะมอลล์ โคราช,EVEANDBOY The Mall Korat,1,เดอะมอลล์ โคราช,The Mall Korat,Beauty Skincare & Costmetic,Beauty Skincare & Costmetic,active,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
226,ฮาเระ เดอะมอลล์ไลฟ์สโตร์ ท่าพระ,Ha re The Mall Lifestore Thapra,3,เดอะมอลล์ไลฟ์สโตร์ ท่าพระ,The Mall Lifestore Thapra,Beauty Skincare & Costmetic,Beauty Skincare & Costmetic,active,,,,,,,,,,,,,,,,,
261,อิส สกิน เดอะมอลล์ไลฟ์สโตร์ งามวงศ์วาน,IT'S SKIN The Mall Lifestore Ngamwongwan,1,เดอะมอลล์ไลฟ์สโตร์ งามวงศ์วาน,The Mall Lifestore Ngamwongwan,Beauty Skincare & Costmetic,Beauty Skincare & Costmetic,active,,,,,,,,,,,,,,,,,
461,เอสปัวร์ เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,ESPOIR The Mall Lifestore Bangkapi,M,เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,The Mall Lifestore Bangkapi,Beauty Skincare & Costmetic,Beauty Skincare & Costmetic,active,,,,,,,,,,,,,,,,,
462,คามาคาเมต เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,KARMAKAMET The Mall Lifestore Bangkapi,M,เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,The Mall Lifestore Bangkapi,Beauty Skincare & Costmetic,Beauty Skincare & Costmetic,active,,,,,,,,,,,,,,,,,
464,คอนวี่ บูทีค เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,KONVY BOUTIQUE The Mall Lifestore Bangkapi,G,เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,The Mall Lifestore Bangkapi,Beauty Skincare & Costmetic,Beauty Skincare & Costmetic,active,,,,,,,,,,,,,,,,,
496,เคดม่า เดอะมอลล์ โคราช,KEDMA The Mall Korat,2,เดอะมอลล์ โคราช,The Mall Korat,Beauty Skincare & Costmetic,Beauty Skincare & Costmetic,active,,,,,,,,,,,,,,,,,
532,อีฟ โรเช เดอะมอลล์ไลฟ์สโตร์ บางแค,YVES ROCHER The Mall Lifestore Bangkae,M,เดอะมอลล์ไลฟ์สโตร์ บางแค,The Mall Lifestore Bangkae,Beauty Skincare & Costmetic,Beauty Skincare & Costmetic,active,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
641,ลลิล เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,LALIL The Mall Lifestore Bangkapi,M,เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,The Mall Lifestore Bangkapi,Beauty Skincare & Costmetic,Beauty Skincare & Costmetic,active,,,,,,,,,,,,,,,,,
650,เฟิร์สเอทคิสเฮาส์ออฟเซนส์ เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,FIRST AID KISS HOUSE OF SCENTS The Mall Lifestore Bangkapi,G,เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,The Mall Lifestore Bangkapi,Beauty Skincare & Costmetic,Beauty Skincare & Costmetic,active,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
655,ทเวนตี้ โฟร์ เอาร มินเออะรัล เดอะมอลล์ไลฟ์สโตร์ งามวงศ์วาน,TWENTY FOUR HOURS MINERALS The Mall Lifestore Ngamwongwan,2,เดอะมอลล์ไลฟ์สโตร์ งามวงศ์วาน,The Mall Lifestore Ngamwongwan,Beauty Skincare & Costmetic,Beauty Skincare & Costmetic,active,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
725,เคดม่า เดอะมอลล์ โคราช,KEDMA The Mall Korat,1,เดอะมอลล์ โคราช,The Mall Korat,Beauty Skincare & Costmetic,Beauty Skincare & Costmetic,active,,,,,,,,,,,,,,,,,
729,หาญ เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,HARNN The Mall Lifestore Bangkapi,M,เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,The Mall Lifestore Bangkapi,Beauty Skincare & Costmetic,Beauty Skincare & Costmetic,active,,,,,,,,,,,,,,,,,
775,บิวตี้ บุฟเฟต์ เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,BEAUTY BUFFET The Mall Lifestore Bangkapi,M,เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,The Mall Lifestore Bangkapi,Beauty Skincare & Costmetic,Beauty Skincare & Costmetic,active,,,,,,,,,,,,,,,,,
787,คอนวี่ เดอะมอลล์ไลฟ์สโตร์ งามวงศ์วาน,KONVY The Mall Lifestore Ngamwongwan,1,เดอะมอลล์ไลฟ์สโตร์ งามวงศ์วาน,The Mall Lifestore Ngamwongwan,Beauty Skincare & Costmetic,Beauty Skincare & Costmetic,active,,,,,,,,,,,,,,,,,
809,เดอะ เฟส ช้อป เดอะมอลล์ไลฟ์สโตร์ บางแค,THE FACE SHOP The Mall Lifestore Bangkae,M,เดอะมอลล์ไลฟ์สโตร์ บางแค,The Mall Lifestore Bangkae,Beauty Skincare & Costmetic,Beauty Skincare & Costmetic,active,,,,,,,,,,,,,,,,,
815,โบทานิฟิก เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,BOTANIFIQUE The Mall Lifestore Bangkapi,G,เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,The Mall Lifestore Bangkapi,Beauty Skincare & Costmetic,Beauty Skincare & Costmetic,active,,,,,,,,,,,,,,,,,
828,คอนวี่ เดอะมอลล์ไลฟ์สโตร์ บางแค,KONVY The Mall Lifestore Bangkae,G,เดอะมอลล์ไลฟ์สโตร์ บางแค,The Mall Lifestore Bangkae,Beauty Skincare & Costmetic,Beauty Skincare & Costmetic,active,,,,,,,,,,,,,,,,,
842,คิวเพรส เดอะมอลล์ไลฟ์สโตร์ ท่าพระ,CUTE PRESS The Mall Lifestore Thapra,G,เดอะมอลล์ไลฟ์สโตร์ ท่าพระ,The Mall Lifestore Thapra,Beauty Skincare & Costmetic,Beauty Skincare & Costmetic,active,,,,,,,,,,,,,,,,,
859,คอนวี่ เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,KONVY The Mall Lifestore Bangkapi,G,เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,The Mall Lifestore Bangkapi,Beauty Skincare & Costmetic,Beauty Skincare & Costmetic,active,,,,,,,,,,,,,,,,,
875,เดอะ เฟส ช้อป เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,THE FACE SHOP The Mall Lifestore Bangkapi,G,เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,The Mall Lifestore Bangkapi,Beauty Skincare & Costmetic,Beauty Skincare & Costmetic,active,,,,,,,,,,,,,,,,,
879,ดอกเตอร์พงศ์ เดอะมอลล์ไลฟ์สโตร์ ท่าพระ,Dr.PONG The Mall Lifestore Thapra,G,เดอะมอลล์ไลฟ์สโตร์ ท่าพระ,The Mall Lifestore Thapra,Beauty Skincare & Costmetic,Beauty Skincare & Costmetic,active,,,,,,,,,,,,,,,,,
1006,คิวเพรส เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,CUTE PRESS The Mall Lifestore Bangkapi,G,เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,The Mall Lifestore Bangkapi,Beauty Skincare & Costmetic,Beauty Skincare & Costmetic,active,,,,,,,,,,,,,,,,,
1025,โอเรียนทอล พริ้นเซส เดอะมอลล์ไลฟ์สโตร์ ท่าพระ,ORIENTAL PRINCESS The Mall Lifestore Thapra,G,เดอะมอลล์ไลฟ์สโตร์ ท่าพระ,The Mall Lifestore Thapra,Beauty Skincare & Costmetic,Beauty Skincare & Costmetic,active,,,,,,,,,,,,,,,,,
1077,อีฟแอนด์บอย เดอะมอลล์ไลฟ์สโตร์ ท่าพระ,EVEANDBOY The Mall Lifestore Thapra,1,เดอะมอลล์ไลฟ์สโตร์ ท่าพระ,The Mall Lifestore Thapra,Beauty Skincare & Costmetic,Beauty Skincare & Costmetic,active,,,,,,,,,,,,,,,,,
1137,โอเรียนทอล พริ้นเซส เดอะมอลล์ โคราช,ORIENTAL PRINCESS The Mall Korat,1,เดอะมอลล์ โคราช,The Mall Korat,Beauty Skincare & Costmetic,Beauty Skincare & Costmetic,active,,,,,,,,,,,,,,,,,
1152,วิคตอเรีย ซีเคร็ท เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,VICTORIA'S SECRET The Mall Lifestore Bangkapi,M,เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,The Mall Lifestore Bangkapi,Beauty Skincare & Costmetic,Beauty Skincare & Costmetic,active,,,,,,,,,,,,,,,,,
1166,คอนวี่ เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,KONVY The Mall Lifestore Bangkapi,M,เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,The Mall Lifestore Bangkapi,Beauty Skincare & Costmetic,Beauty Skincare & Costmetic,active,,,,,,,,,,,,,,,,,
1179,เอ็มทีไอ เดอะมอลล์ไลฟ์สโตร์ ท่าพระ,MTI The Mall Lifestore Thapra,G,เดอะมอลล์ไลฟ์สโตร์ ท่าพระ,The Mall Lifestore Thapra,Beauty Skincare & Costmetic,Beauty Skincare & Costmetic,active,,,,,,,,,,,,,,,,,
1240,เอ็มทีไอ เดอะมอลล์ไลฟ์สโตร์ งามวงศ์วาน,MTI The Mall Lifestore Ngamwongwan,2,เดอะมอลล์ไลฟ์สโตร์ งามวงศ์วาน,The Mall Lifestore Ngamwongwan,Beauty Skincare & Costmetic,Beauty Skincare & Costmetic,active,,,,,,,,,,,,,,,,,
1261,โอเรียนทอล พริ้นเซส เดอะมอลล์ไลฟ์สโตร์ บางแค,ORIENTAL PRINCESS The Mall Lifestore Bangkae,M,เดอะมอลล์ไลฟ์สโตร์ บางแค,The Mall Lifestore Bangkae,Beauty Skincare & Costmetic,Beauty Skincare & Costmetic,active,,,,,,,,,,,,,,,,,
1307,คิวเพรส เดอะมอลล์ โคราช,CUTE PRESS The Mall Korat,2,เดอะมอลล์ โคราช,The Mall Korat,Beauty Skincare & Costmetic,Beauty Skincare & Costmetic,active,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1314,คอส มาร์เช่ เดอะมอลล์ไลฟ์สโตร์ งามวงศ์วาน,COS MARCHE The Mall Lifestore Ngamwongwan,2,เดอะมอลล์ไลฟ์สโตร์ งามวงศ์วาน,The Mall Lifestore Ngamwongwan,Beauty Skincare & Costmetic,Beauty Skincare & Costmetic,active,,,,,,,,,,,,,,,,,
1350,ลาวิเลียร์ เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,LAVELIER The Mall Lifestore Bangkapi,G,เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,The Mall Lifestore Bangkapi,Beauty Skincare & Costmetic,Beauty Skincare & Costmetic,active,,,,,,,,,,,,,,,,,
1366,คิโค มิลาโน เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,KIKO MILANO The Mall Lifestore Bangkapi,G,เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,The Mall Lifestore Bangkapi,Beauty Skincare & Costmetic,Beauty Skincare & Costmetic,active,,,,,,,,,,,,,,,,,
1374,ลลิล เดอะมอลล์ไลฟ์สโตร์ บางแค,LALIL The Mall Lifestore Bangkae,G,เดอะมอลล์ไลฟ์สโตร์ บางแค,The Mall Lifestore Bangkae,Beauty Skincare & Costmetic,Beauty Skincare & Costmetic,active,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1432,จีเอ็นซี เดอะมอลล์ไลฟ์สโตร์ งามวงศ์วาน,GNC The Mall Lifestore Ngamwongwan,G,เดอะมอลล์ไลฟ์สโตร์ งามวงศ์วาน,The Mall Lifestore Ngamwongwan,Beauty Skincare & Costmetic,Beauty Skincare & Costmetic,active,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1458,อีฟแอนด์บอย เดอะมอลล์ไลฟ์สโตร์ งามวงศ์วาน,EVEANDBOY The Mall Lifestore Ngamwongwan,2,เดอะมอลล์ไลฟ์สโตร์ งามวงศ์วาน,The Mall Lifestore Ngamwongwan,Beauty Skincare & Costmetic,Beauty Skincare & Costmetic,active,,,,,,,,,,,,,,,,,
1482,จีเอ็นซี เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,GNC The Mall Lifestore Bangkapi,G,เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,The Mall Lifestore Bangkapi,Beauty Skincare & Costmetic,Beauty Skincare & Costmetic,active,,,,,,,,,,,,,,,,,
1594,คิวเพรส เดอะมอลล์ไลฟ์สโตร์ บางแค,CUTE PRESS The Mall Lifestore Bangkae,M,เดอะมอลล์ไลฟ์สโตร์ บางแค,The Mall Lifestore Bangkae,Beauty Skincare & Costmetic,Beauty Skincare & Costmetic,active,,,,,,,,,,,,,,,,,
1622,อีฟแอนด์บอย เดอะมอลล์ไลฟ์สโตร์ บางแค,EVEANDBOY The Mall Lifestore Bangkae,G,เดอะมอลล์ไลฟ์สโตร์ บางแค,The Mall Lifestore Bangkae,Beauty Skincare & Costmetic,Beauty Skincare & Costmetic,active,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1652,คาร์มาร์ท เดอะมอลล์ไลฟ์สโตร์ ท่าพระ,KARMART The Mall Lifestore Thapra,G,เดอะมอลล์ไลฟ์สโตร์ ท่าพระ,The Mall Lifestore Thapra,Beauty Skincare & Costmetic,Beauty Skincare & Costmetic,active,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1717,มัลตี้ เดอะมอลล์ไลฟ์สโตร์ บางแค,MULTY The Mall Lifestore Bangkae,M,เดอะมอลล์ไลฟ์สโตร์ บางแค,The Mall Lifestore Bangkae,Beauty Skincare & Costmetic,Beauty Skincare & Costmetic,active,,,,,,,,,,,,,,,,,
1741,บิวตี้ บุฟเฟต์ เดอะมอลล์ โคราช,BEAUTY BUFFET The Mall Korat,B,เดอะมอลล์ โคราช,The Mall Korat,Beauty Skincare & Costmetic,Beauty Skincare & Costmetic,active,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1751,ดอกเตอร์พงศ์ เดอะมอลล์ โคราช,Dr.PONG The Mall Korat,2,เดอะมอลล์ โคราช,The Mall Korat,Beauty Skincare & Costmetic,Beauty Skincare & Costmetic,active,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1770,อีฟ โรเช เดอะมอลล์ไลฟ์สโตร์ ท่าพระ,YVES ROCHER The Mall Lifestore Thapra,G,เดอะมอลล์ไลฟ์สโตร์ ท่าพระ,The Mall Lifestore Thapra,Beauty Skincare & Costmetic,Beauty Skincare & Costmetic,active,,,,,,,,,,,,,,,,,
1793,เดอะ เฟส ช้อป เดอะมอลล์ โคราช,THE FACE SHOP The Mall Korat,1,เดอะมอลล์ โคราช,The Mall Korat,Beauty Skincare & Costmetic,Beauty Skincare & Costmetic,active,,,,,,,,,,,,,,,,,
1802,อีฟ โรเช เดอะมอลล์ไลฟ์สโตร์ งามวงศ์วาน,YVES ROCHER The Mall Lifestore Ngamwongwan,2,เดอะมอลล์ไลฟ์สโตร์ งามวงศ์วาน,The Mall Lifestore Ngamwongwan,Beauty Skincare & Costmetic,Beauty Skincare & Costmetic,active,,,,,,,,,,,,,,,,,
1938,อีฟ โรเช เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,YVES ROCHER The Mall Lifestore Bangkapi,G,เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,The Mall Lifestore Bangkapi,Beauty Skincare & Costmetic,Beauty Skincare & Costmetic,active,,,,,,,,,,,,,,,,,
1976,โอเรียนทอล พริ้นเซส เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,ORIENTAL PRINCESS The Mall Lifestore Bangkapi,G,เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,The Mall Lifestore Bangkapi,Beauty Skincare & Costmetic,Beauty Skincare & Costmetic,active,,,,,,,,,,,,,,,,,
2008,ซีรินดา เดอะมอลล์ไลฟ์สโตร์ งามวงศ์วาน,ZELINDA The Mall Lifestore Ngamwongwan,G,เดอะมอลล์ไลฟ์สโตร์ งามวงศ์วาน,The Mall Lifestore Ngamwongwan,Beauty Skincare & Costmetic,Beauty Skincare & Costmetic,active,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
2145,บาธ แอนด์ บอดี้ เวิร์คส์ เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,BATH & BODY WORKS The Mall Lifestore Bangkapi,M,เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,The Mall Lifestore Bangkapi,Beauty Skincare & Costmetic,Beauty Skincare & Costmetic,active,,,,,,,,,,,,,,,,,
2191,อีฟ โรเช เดอะมอลล์ โคราช,YVES ROCHER The Mall Korat,1,เดอะมอลล์ โคราช,The Mall Korat,Beauty Skincare & Costmetic,Beauty Skincare & Costmetic,active,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
2203,กราทิเอ เดอะมอลล์ไลฟ์สโตร์ ท่าพระ,GRATIAE The Mall Lifestore Thapra,G,เดอะมอลล์ไลฟ์สโตร์ ท่าพระ,The Mall Lifestore Thapra,Beauty Skincare & Costmetic,Beauty Skincare & Costmetic,active,,,,,,,,,,,,,,,,,
2224,อีฟแอนด์บอย เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,EVEANDBOY The Mall Lifestore Bangkapi,G,เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,The Mall Lifestore Bangkapi,Beauty Skincare & Costmetic,Beauty Skincare & Costmetic,active,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
2225,หาญ เดอะมอลล์ไลฟ์สโตร์ งามวงศ์วาน,HARNN The Mall Lifestore Ngamwongwan,1,เดอะมอลล์ไลฟ์สโตร์ งามวงศ์วาน,The Mall Lifestore Ngamwongwan,Beauty Skincare & Costmetic,Beauty Skincare & Costmetic,active,,,,,,,,,,,,,,,,,
2251,บิวตี้ บุฟเฟต์ เดอะมอลล์ไลฟ์สโตร์ บางแค,BEAUTY BUFFET The Mall Lifestore Bangkae,M,เดอะมอลล์ไลฟ์สโตร์ บางแค,The Mall Lifestore Bangkae,Beauty Skincare & Costmetic,Beauty Skincare & Costmetic,active,,,,,,,,,,,,,,,,,
1,ยูแอนด์ไอ เอ็มควอเทียร์,YOU & I Emquartier,9,เอ็มควอเทียร์,Emquartier,Dining,Dining,active,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
6,โอโตยะ เดอะมอลล์ โคราช,OOTOYA The Mall Korat,1,เดอะมอลล์ โคราช,The Mall Korat,Dining,Dining,active,,,,,,,,,,,,,,,,,
10,โอโตยะ เดอะมอลล์ไลฟ์สโตร์ งามวงศ์วาน,OOTOYA The Mall Lifestore Ngamwongwan,5,เดอะมอลล์ไลฟ์สโตร์ งามวงศ์วาน,The Mall Lifestore Ngamwongwan,Dining,Dining,active,,,,,,,,,,,,,,,,,
11,โอโตยะ เอ็มโพเรียม,OOTOYA Emporium,4,เอ็มโพเรียม,Emporium,Dining,Dining,active,,,,,,,,,,,,,,,,,
15,เซ็นจู ชาบู แอนด์ ซูชิ พรีเมียม บุฟเฟ่ต์ เดอะมอลล์ไลฟ์สโตร์ ท่าพระ,SENJU SHABU & SUSHI PREMIUM BUFFET The Mall Lifestore Thapra,3,เดอะมอลล์ไลฟ์สโตร์ ท่าพระ,The Mall Lifestore Thapra,Dining,Dining,active,,,,,,,,,,,,,,,,,
16,โอลิโนะ พลัซเซิล เดอะมอลล์ไลฟ์สโตร์ บางแค,OLINO PUZZLE The Mall Lifestore Bangkae,G,เดอะมอลล์ไลฟ์สโตร์ บางแค,The Mall Lifestore Bangkae,Dining,Dining,active,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
21,สตาร์บัคส์ คอฟฟี่ เดอะมอลล์ไลฟ์สโตร์ บางแค,STARBUCKS The Mall Lifestore Bangkae,G,เดอะมอลล์ไลฟ์สโตร์ บางแค,The Mall Lifestore Bangkae,Dining,Dining,active,,,,,,,,,,,,,,,,,
22,ซูกิชิ โคเรียน ชาร์โคล กริลล์ เดอะมอลล์ไลฟ์สโตร์ งามวงศ์วาน,SUKISHI KOREAN CHARCOAL GRILL The Mall Lifestore Ngamwongwan,5,เดอะมอลล์ไลฟ์สโตร์ งามวงศ์วาน,The Mall Lifestore Ngamwongwan,Dining,Dining,active,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
26,สตาร์บัคส์ คอฟฟี่ เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,STARBUCKS The Mall Lifestore Bangkapi,3,เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,The Mall Lifestore Bangkapi,Dining,Dining,active,,,,,,,,,,,,,,,,,
29,โดมิคอร์น เดอะมอลล์ไลฟ์สโตร์ บางแค,DOMI CORN The Mall Lifestore Bangkae,1,เดอะมอลล์ไลฟ์สโตร์ บางแค,The Mall Lifestore Bangkae,Dining,Dining,active,,,,,,,,,,,,,,,,,
31,สตาร์บัคส์ คอฟฟี่ เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,STARBUCKS The Mall Lifestore Bangkapi,M,เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,The Mall Lifestore Bangkapi,Dining,Dining,active,,,,,,,,,,,,,,,,,
32,โอ้จู๊ซ เดอะมอลล์ไลฟ์สโตร์ บางแค,OH JUICE The Mall Lifestore Bangkae,G,เดอะมอลล์ไลฟ์สโตร์ บางแค,The Mall Lifestore Bangkae,Dining,Dining,active,,,,,,,,,,,,,,,,,
35,คิง คอง ฟรายส์ สคิเวอร์ เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,KING KONG FRIED SKEWER The Mall Lifestore Bangkapi,3,เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,The Mall Lifestore Bangkapi,Dining,Dining,active,,,,,,,,,,,,,,,,,
46,สตาร์บัคส์ คอฟฟี่ เดอะมอลล์ โคราช,STARBUCKS The Mall Korat,1,เดอะมอลล์ โคราช,The Mall Korat,Dining,Dining,active,,,,,,,,,,,,,,,,,
47,ดาร์ก พารากอน,D'ARK Paragon,2,พารากอน,Paragon,Dining,Dining,active,,,,,,,,,,,,,,,,,
48,กวางทอง เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,KWANGTHONG The Mall Lifestore Bangkapi,G,เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,The Mall Lifestore Bangkapi,Dining,Dining,active,,,,,,,,,,,,,,,,,
52,สตาร์บัคส์ คอฟฟี่ เดอะมอลล์ไลฟ์สโตร์ ท่าพระ,STARBUCKS The Mall Lifestore Thapra,G,เดอะมอลล์ไลฟ์สโตร์ ท่าพระ,The Mall Lifestore Thapra,Dining,Dining,active,,,,,,,,,,,,,,,,,
54,ละลานรส เดอะมอลล์ไลฟ์สโตร์ งามวงศ์วาน,LALANROS The Mall Lifestore Ngamwongwan,G,เดอะมอลล์ไลฟ์สโตร์ งามวงศ์วาน,The Mall Lifestore Ngamwongwan,Dining,Dining,active,,,,,,,,,,,,,,,,,
58,สตาร์บัคส์ คอฟฟี่ เดอะมอลล์ไลฟ์สโตร์ งามวงศ์วาน,STARBUCKS The Mall Lifestore Ngamwongwan,G,เดอะมอลล์ไลฟ์สโตร์ งามวงศ์วาน,The Mall Lifestore Ngamwongwan,Dining,Dining,active,,,,,,,,,,,,,,,,,
61,มาซารุ ชาบู แอนด์  ซูชิ  เดอะมอลล์ไลฟ์สโตร์ บางแค,MASARU SHABU & SUSHI BUFFET The Mall Lifestore Bangkae,3,เดอะมอลล์ไลฟ์สโตร์ บางแค,The Mall Lifestore Bangkae,Dining,Dining,active,,,,,,,,,,,,,,,,,
63,สตาร์บัคส์ คอฟฟี่ เดอะมอลล์ไลฟ์สโตร์ งามวงศ์วาน,STARBUCKS The Mall Lifestore Ngamwongwan,2,เดอะมอลล์ไลฟ์สโตร์ งามวงศ์วาน,The Mall Lifestore Ngamwongwan,Dining,Dining,active,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
67,ไนซือ เดอะมอลล์ไลฟ์สโตร์ งามวงศ์วาน,NAIXUE The Mall Lifestore Ngamwongwan,G,เดอะมอลล์ไลฟ์สโตร์ งามวงศ์วาน,The Mall Lifestore Ngamwongwan,Dining,Dining,active,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
71,สตาร์บัคส์ คอฟฟี่ เดอะมอลล์ รามคำแหง,STARBUCKS The Mall Ramkamhang,G,เดอะมอลล์ รามคำแหง,The Mall Ramkamhang,Dining,Dining,active,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
